"model","resample","variables","n_variables"
"RF","Fold08.Rep09","Age, Sex, Living_alone, Cold_flu_pneumonia_last_2_y, Antibiotics_last_2_y, Chronic_bronchitis, COPD, Pleural_fluid, Angina_pectoris, Pneumonia, No_comorbidities, Weight_reduction_last_2_y, Weight_increase_last_2_y, Current_daily_smoker, Less_Smoking, Hard_to_get_air, Labored_breathing, Wheezing, Hard_to_catch_breath, Gasp_for_air, Discomfort_sensation, Panic_sensation, Thickness_in_throat, Uneasiness_hard_to_describe, Breathing_sound_squeaked_as_if_through_a_pipe, Breathing_sound_rattled_wheezed, Breathing_sound_bubbled_gurgled, Irritating_cough, Need_to_clear_throat, Lumps_pieces_in_sputum, Thick_consistency, Persisting_pain, Pain_comes_and_goes, Pain_persists_worsens_when_breathing, Pain_persists_worsens_changing_body_position, Lump_swelling_or_obstruction_sensation, Heartburn, Pain_in_throat, Pain_in_shoulder_blade, Pain_in_shoulders, Pain_in_chest, Pain_radiated_between_shoulder_blades_to_chest, Back_pain, Pain_in_whole_body, Less_energy_to_do_things, Less_will_to_do_things, Legs_do_not_support, Difficulty_to_stay_awake, Did_not_feel_well_rested, Felt_abnormally_unhealthily_tires, Felt_out_of_sorts, Persistent_fatigue, Felt_tiredness_weakness_or_lack_of_energy_that_came_and_went, Hoarse_voice, Rougher_voice, Lost_my_voice, Voice_changes_difficult_to_describe, Loss_of_appetite, Do_not_enjoy_food, Food_drinks_tasted_different, Trouble_swallowing, Early_satiety, Changes_hard_to_describe, Lost_sense_of_smell, Changes_hard_to_describe.1, Feeling_chilly, Nail_changes, Thickness_in_throat.1, More_irritable, Feeling_that_something_is_wrong",70
"RF","Fold08.Rep10","Age, Sex, Living_alone, Cold_flu_pneumonia_last_2_y, Antibiotics_last_2_y, Asthma, Emphysema, COPD, Angina_pectoris, No_comorbidities, Weight_reduction_last_2_y, Weight_increase_last_2_y, Current_daily_smoker, Hard_to_get_air, Labored_breathing, Wheezing, Hard_to_catch_breath, Gasp_for_air, Discomfort_sensation, Panic_sensation, Stabbing_sensation_from_taking_deep_breaths, Thickness_in_throat, Sores_in_chest, Breathing_sound_squeaked_as_if_through_a_pipe, Breathing_sound_rattled_wheezed, Irritating_cough, White_yellow_or_green_phlegm_expectorated, Lumps_pieces_in_sputum, Thick_consistency, Thin_mucus, Persisting_pain, Pain_comes_and_goes, Pain_reduces_improves_when_changing_body_position, Pain_persists_worsens_changing_body_position, Lump_swelling_or_obstruction_sensation, Pain_in_shoulder_blade, Pain_in_neck, Pain_radiated_between_shoulder_blades_to_chest, Back_pain, Pain_in_whole_body, Less_energy_to_do_things, Less_will_to_do_things, Became_weaker, Legs_do_not_support, Did_not_feel_well_rested, Persistent_fatigue, Felt_tiredness_weakness_or_lack_of_energy_that_came_and_went, Feeling_of_discomfort_uneasiness_hard_to_describe, Hoarse_voice, Rougher_voice, Loss_of_appetite, Food_drinks_tasted_different, Early_satiety, Changes_hard_to_describe, Lost_sense_of_smell, Feeling_chilly, Cold_feet, Nail_changes, Poorer_condition_lower_fitness, More_down, More_irritable, Feeling_that_something_is_wrong",62
"RF","Fold09.Rep01","Age, Sex, Living_alone, Antibiotics_last_2_y, Asthma, Chronic_bronchitis, COPD, Angina_pectoris, Pneumonia, No_comorbidities, Weight_reduction_last_2_y, Weight_increase_last_2_y, Current_daily_smoker, Less_Smoking, Hard_to_get_air, Labored_breathing, Hard_to_catch_breath, Gasp_for_air, Discomfort_sensation, Panic_sensation, Stabbing_sensation_from_taking_deep_breaths, Thickness_in_throat, Breathing_sound_rattled_wheezed, Irritating_cough, Losing_breath_due_to_coughing, Unlike_other_coughs, Lumps_pieces_in_sputum, Persisting_pain, Pain_comes_and_goes, Lump_swelling_or_obstruction_sensation, Pain_in_shoulder_blade, Pain_radiated_between_shoulder_blades_to_chest, Back_pain, Became_weaker, Legs_do_not_support, Difficulty_to_stay_awake, Did_not_feel_well_rested, Increased_need_for_sleep, Persistent_fatigue, Felt_tiredness_weakness_or_lack_of_energy_that_came_and_went, Feeling_of_discomfort_uneasiness_hard_to_describe, Rougher_voice, Loss_of_appetite, Do_not_enjoy_food, Early_satiety, Changes_hard_to_describe, Lost_sense_of_smell, Changes_hard_to_describe.1, Feeling_chilly, Day_sweats_more_than_usual, Swollen_tender_joints, Nail_changes, Poorer_condition_lower_fitness, More_down, More_irritable, Feeling_that_something_is_wrong",56
"RF","Fold09.Rep02","Age, Sex, Living_alone, Cold_flu_pneumonia_last_2_y, Antibiotics_last_2_y, Emphysema, Asbestos, Chronic_bronchitis, COPD, Angina_pectoris, Pneumonia, No_comorbidities, Weight_reduction_last_2_y, Weight_increase_last_2_y, Current_daily_smoker, Less_Smoking, Hard_to_get_air, Hard_to_breathe_deeply, Labored_breathing, Wheezing, Gasp_for_air, Feeling_of_choking, Discomfort_sensation, Panic_sensation, Stabbing_sensation_from_taking_deep_breaths, Thickness_in_throat, Lump_in_the_chest, Breathing_sound_rattled_wheezed, Breathing_sound_whistling, Breathing_sound_bubbled_gurgled, Dry_cough, Irritating_cough, Need_to_clear_throat, Blood_mixed_phlegm_expectorates, Lumps_pieces_in_sputum, Thin_mucus, Persisting_pain, Pain_comes_and_goes, Pain_persists_worsens_when_breathing, Pain_reduces_improves_when_changing_body_position, Pain_persists_worsens_changing_body_position, Heartburn, Pain_in_shoulder_blade, Pain_in_shoulders, Pain_in_chest, Pain_radiated_between_shoulder_blades_to_chest, Back_pain, Pain_in_whole_body, Pain_that_shifts_location, Less_energy_to_do_things, Less_will_to_do_things, Became_weaker, Legs_do_not_support, Difficulty_to_stay_awake, Felt_tiredness_weakness_or_lack_of_energy_that_came_and_went, Feeling_of_discomfort_uneasiness_hard_to_describe, Rougher_voice, Weaker_voice, Loss_of_appetite, Do_not_enjoy_food, Early_satiety, Night_sweats, Calf_cramp, Nail_changes, Dryer_mouth, Poorer_condition_lower_fitness, More_down, More_irritable, Feeling_that_something_is_wrong",69
"RF","Fold09.Rep03","Age, Sex, Living_alone, Cold_flu_pneumonia_last_2_y, Antibiotics_last_2_y, Asthma, Chronic_bronchitis, COPD, Angina_pectoris, Pneumonia, No_comorbidities, Weight_reduction_last_2_y, Weight_increase_last_2_y, Current_daily_smoker, Less_Smoking, Hard_to_get_air, Feeling_pressure, Labored_breathing, Wheezing, Gasp_for_air, Discomfort_sensation, Panic_sensation, Stabbing_sensation_from_taking_deep_breaths, Thickness_in_throat, Sores_in_chest, Breathing_sound_rattled_wheezed, Mucus_cough, Barking_cough, Irritating_cough, Slight_cough, Lumps_pieces_in_sputum, Persisting_pain, Pain_comes_and_goes, Pain_persists_worsens_when_breathing, Pain_persists_worsens_changing_body_position, Lump_swelling_or_obstruction_sensation, Heartburn, Pain_in_shoulders, Pain_in_chest, Pain_radiated_between_shoulder_blades_to_chest, Headache, Back_pain, Pain_in_whole_body, Less_energy_to_do_things, Less_will_to_do_things, Became_weaker, Legs_do_not_support, Difficulty_to_stay_awake, Did_not_feel_well_rested, Felt_worn_out, Felt_abnormally_unhealthily_tires, Felt_tiredness_weakness_or_lack_of_energy_that_came_and_went, Hoarse_voice, Rougher_voice, Lost_my_voice, Loss_of_appetite, Food_drinks_tasted_different, Early_satiety, Cold_feet, Calf_cramp, Nail_changes, Poorer_condition_lower_fitness, More_down, More_irritable, Feeling_that_something_is_wrong",65
"RF","Fold09.Rep04","Age, Sex, Living_alone, Cold_flu_pneumonia_last_2_y, Antibiotics_last_2_y, Asthma, Chronic_bronchitis, COPD, Pleural_fluid, Angina_pectoris, Pneumonia, No_comorbidities, Weight_reduction_last_2_y, Weight_increase_last_2_y, Current_daily_smoker, Less_Smoking, Hard_to_get_air, Labored_breathing, Wheezing, Hard_to_catch_breath, Gasp_for_air, Panic_sensation, Stabbing_sensation_from_taking_deep_breaths, Thickness_in_throat, Breathing_sound_squeaked_as_if_through_a_pipe, Breathing_sound_rattled_wheezed, Breathing_sound_bubbled_gurgled, Irritating_cough, Losing_breath_due_to_coughing, Slight_cough, Lumps_pieces_in_sputum, Persisting_pain, Pain_comes_and_goes, Lump_swelling_or_obstruction_sensation, Heartburn, Pain_in_shoulder_blade, Pain_in_shoulders, Pain_in_chest, Pain_radiated_between_shoulder_blades_to_chest, Headache, Back_pain, Pain_in_whole_body, Less_will_to_do_things, Became_weaker, Legs_do_not_support, Difficulty_to_stay_awake, Felt_worn_out, Felt_abnormally_unhealthily_tires, Persistent_fatigue, Felt_tiredness_weakness_or_lack_of_energy_that_came_and_went, Hoarse_voice, Rougher_voice, Loss_of_appetite, Do_not_enjoy_food, Early_satiety, Difficult_sensing_smells, Lost_sense_of_smell, Changes_hard_to_describe.1, Feeling_chilly, Cold_feet, Nail_changes, Poorer_condition_lower_fitness, More_down, More_irritable, Feeling_that_something_is_wrong",65
"RF","Fold09.Rep05","Age, Sex, Living_alone, Cold_flu_pneumonia_last_2_y, Antibiotics_last_2_y, Asthma, Emphysema, Chronic_bronchitis, COPD, Angina_pectoris, Pneumonia, No_comorbidities, Weight_reduction_last_2_y, Weight_increase_last_2_y, Current_daily_smoker, Less_Smoking, Hard_to_get_air, Labored_breathing, Hard_to_catch_breath, Gasp_for_air, Discomfort_sensation, Panic_sensation, Stabbing_sensation_from_taking_deep_breaths, Thickness_in_throat, Sores_in_chest, Breathing_sound_squeaked_as_if_through_a_pipe, Breathing_sound_rattled_wheezed, Breathing_sound_hissed, Dry_cough, Irritating_cough, Increased_amount_of_phlegm_expectorates, White_yellow_or_green_phlegm_expectorated, Blood_mixed_phlegm_expectorates, Lumps_pieces_in_sputum, Thick_consistency, Thick_mucus, Pain_reduces_improves_when_changing_body_position, Lump_swelling_or_obstruction_sensation, Pain_in_shoulder_blade, Pain_radiated_between_shoulder_blades_to_chest, Back_pain, Pain_in_whole_body, Less_will_to_do_things, Became_weaker, Legs_do_not_support, Did_not_feel_well_rested, Increased_need_for_sleep, Persistent_fatigue, Felt_tiredness_weakness_or_lack_of_energy_that_came_and_went, Rougher_voice, Lost_my_voice, Loss_of_appetite, Early_satiety, Feeling_chilly, Cold_feet, Nail_changes, Poorer_condition_lower_fitness, More_down, More_irritable, Feeling_that_something_is_wrong",60
"RF","Fold09.Rep06","Age, Sex, Living_alone, Cold_flu_pneumonia_last_2_y, Antibiotics_last_2_y, Asthma, Chronic_bronchitis, COPD, Angina_pectoris, Pneumonia, No_comorbidities, Weight_reduction_last_2_y, Weight_increase_last_2_y, Current_daily_smoker, Less_Smoking, Hard_to_get_air, Labored_breathing, Wheezing, Hard_to_catch_breath, Gasp_for_air, Discomfort_sensation, Panic_sensation, Stabbing_sensation_from_taking_deep_breaths, Thickness_in_throat, Breathing_sound_rattled_wheezed, Breathing_sound_whistling, Breathing_sound_bubbled_gurgled, Mucus_cough, Hacking_cough, Irritating_cough, Need_to_clear_throat, Unlike_other_coughs, Lumps_pieces_in_sputum, Thick_consistency, Thin_mucus, Persisting_pain, Pain_comes_and_goes, Pain_persists_worsens_when_breathing, Pain_reduces_improves_when_changing_body_position, Pain_persists_worsens_changing_body_position, Lump_swelling_or_obstruction_sensation, Heartburn, Pain_in_shoulder_blade, Pain_in_shoulders, Pain_in_chest, Pain_radiated_between_shoulder_blades_to_chest, Back_pain, Pain_in_whole_body, Less_will_to_do_things, Became_weaker, Legs_do_not_support, Difficulty_to_stay_awake, Did_not_feel_well_rested, Increased_need_for_sleep, Felt_abnormally_unhealthily_tires, Persistent_fatigue, Felt_tiredness_weakness_or_lack_of_energy_that_came_and_went, Feeling_of_discomfort_uneasiness_hard_to_describe, Rougher_voice, Weaker_voice, Loss_of_appetite, Do_not_enjoy_food, Early_satiety, Changes_hard_to_describe, Feeling_chilly, Cold_feet, Swollen_tender_joints, Nail_changes, Dryer_mouth, Poorer_condition_lower_fitness, More_down, More_irritable, Feeling_that_something_is_wrong",73
"RF","Fold09.Rep07","Age, Sex, Living_alone, Cold_flu_pneumonia_last_2_y, Antibiotics_last_2_y, Asthma, Chronic_bronchitis, Heart_disease, Angina_pectoris, Pneumonia, No_comorbidities, Weight_reduction_last_2_y, Weight_increase_last_2_y, Hard_to_get_air, Hard_to_breathe_deeply, Labored_breathing, Hard_to_catch_breath, Gasp_for_air, Feeling_of_choking, Discomfort_sensation, Panic_sensation, Thickness_in_throat, Uneasiness_hard_to_describe, Breathing_sound_bubbled_gurgled, Mucus_cough, Irritating_cough, Losing_breath_due_to_coughing, Need_to_clear_throat, White_yellow_or_green_phlegm_expectorated, Lumps_pieces_in_sputum, Thick_consistency, Persisting_pain, Pain_comes_and_goes, Pain_persists_worsens_when_breathing, Pain_reduces_improves_when_changing_body_position, Lump_swelling_or_obstruction_sensation, Heartburn, Pain_in_neck, Pain_in_chest, Pain_radiated_between_shoulder_blades_to_chest, Back_pain, Less_energy_to_do_things, Less_will_to_do_things, Became_weaker, Legs_do_not_support, Did_not_feel_well_rested, Increased_need_for_sleep, Felt_worn_out, Felt_tiredness_weakness_or_lack_of_energy_that_came_and_went, Rougher_voice, Loss_of_appetite, Early_satiety, Lost_sense_of_smell, Changes_hard_to_describe.1, Feeling_chilly, Fever, Nail_changes, Dryer_mouth, Poorer_condition_lower_fitness, More_down, More_irritable, Feeling_that_something_is_wrong",62
"RF","Fold09.Rep08","Age, Sex, Living_alone, Cold_flu_pneumonia_last_2_y, Antibiotics_last_2_y, Asthma, Asbestos, COPD, Pleural_fluid, Angina_pectoris, Pneumonia, No_comorbidities, Weight_reduction_last_2_y, Weight_increase_last_2_y, Current_daily_smoker, Less_Smoking, Hard_to_get_air, Labored_breathing, Wheezing, Hard_to_catch_breath, Gasp_for_air, Discomfort_sensation, Panic_sensation, Stabbing_sensation_from_taking_deep_breaths, Thickness_in_throat, Breathing_sound_squeaked_as_if_through_a_pipe, Breathing_sound_rattled_wheezed, Mucus_cough, Wheezing_cough, Irritating_cough, Losing_breath_due_to_coughing, Need_to_clear_throat, Lumps_pieces_in_sputum, Thick_consistency, Persisting_pain, Pain_comes_and_goes, Pain_persists_worsens_when_breathing, Pain_persists_worsens_changing_body_position, Lump_swelling_or_obstruction_sensation, Heartburn, Pain_in_shoulder_blade, Pain_in_neck, Pain_radiated_between_shoulder_blades_to_chest, Back_pain, Pain_in_whole_body, Less_energy_to_do_things, Less_will_to_do_things, Became_weaker, Legs_do_not_support, Did_not_feel_well_rested, Increased_need_for_sleep, Felt_abnormally_unhealthily_tires, Persistent_fatigue, Felt_tiredness_weakness_or_lack_of_energy_that_came_and_went, Hoarse_voice, Rougher_voice, Changes_pitch_higher_lower, Loss_of_appetite, Do_not_enjoy_food, Food_drinks_tasted_different, Early_satiety, Lost_sense_of_smell, Changes_hard_to_describe.1, Feeling_chilly, Night_sweats, Cold_feet, Nail_changes, Poorer_condition_lower_fitness, More_down, More_irritable, Feeling_that_something_is_wrong",71
"RF","Fold09.Rep09","Age, Sex, Living_alone, Asthma, Chronic_bronchitis, COPD, Anemia, Angina_pectoris, Pneumonia, No_comorbidities, Weight_reduction_last_2_y, Weight_increase_last_2_y, Current_daily_smoker, Less_Smoking, Hard_to_get_air, Labored_breathing, Hard_to_catch_breath, Gasp_for_air, Discomfort_sensation, Panic_sensation, Stabbing_sensation_from_taking_deep_breaths, Thickness_in_throat, Lump_in_the_chest, Dry_cough, Hacking_cough, Irritating_cough, Losing_breath_due_to_coughing, Unlike_other_coughs, Lumps_pieces_in_sputum, Persisting_pain, Pain_comes_and_goes, Pain_reduces_improves_when_changing_body_position, Pain_persists_worsens_changing_body_position, Lump_swelling_or_obstruction_sensation, Pain_in_shoulder_blade, Pain_in_neck, Pain_in_chest, Pain_radiated_between_shoulder_blades_to_chest, Back_pain, Pain_in_whole_body, Less_energy_to_do_things, Less_will_to_do_things, Became_weaker, Legs_do_not_support, Difficulty_to_stay_awake, Did_not_feel_well_rested, Felt_worn_out, Felt_abnormally_unhealthily_tires, Persistent_fatigue, Felt_tiredness_weakness_or_lack_of_energy_that_came_and_went, Hoarse_voice, Rougher_voice, Loss_of_appetite, Trouble_swallowing, Early_satiety, Changes_hard_to_describe, Lost_sense_of_smell, Changes_hard_to_describe.1, Chills, Feeling_chilly, Night_sweats, Nail_changes, Dryer_mouth, Thickness_in_throat.1, Poorer_condition_lower_fitness, More_down, More_irritable, Feeling_that_something_is_wrong",68
"RF","Fold09.Rep10","Age, Sex, Living_alone, COPD, Heart_disease, Angina_pectoris, No_comorbidities, Weight_reduction_last_2_y, Weight_increase_last_2_y, Current_daily_smoker, Less_Smoking, Hard_to_get_air, Labored_breathing, Wheezing, Gasp_for_air, Discomfort_sensation, Panic_sensation, Thickness_in_throat, Mucus_cough, Barking_cough, Irritating_cough, Losing_breath_due_to_coughing, Slight_cough, Unlike_other_coughs, Persisting_pain, Pain_persists_worsens_when_breathing, Pain_reduces_improves_when_changing_body_position, Pain_persists_worsens_changing_body_position, Pressure_sensation, Pain_in_shoulder_blade, Pain_radiated_between_shoulder_blades_to_chest, Back_pain, Pain_in_whole_body, Less_energy_to_do_things, Less_will_to_do_things, Became_weaker, Legs_do_not_support, Increased_need_for_sleep, Persistent_fatigue, Felt_tiredness_weakness_or_lack_of_energy_that_came_and_went, Hoarse_voice, Rougher_voice, Loss_of_appetite, Do_not_enjoy_food, Early_satiety, Difficult_sensing_smells, Changes_hard_to_describe.1, Cold_feet, Nail_changes, Poorer_condition_lower_fitness, More_down, More_irritable, Feeling_that_something_is_wrong",53
"RF","Fold10.Rep01","Age, Sex, Living_alone, Antibiotics_last_2_y, Asthma, Emphysema, Asbestos, Chronic_bronchitis, COPD, Angina_pectoris, Pneumonia, No_comorbidities, Weight_reduction_last_2_y, Weight_increase_last_2_y, Current_daily_smoker, Less_Smoking, Hard_to_get_air, Labored_breathing, Hard_to_catch_breath, Gasp_for_air, Discomfort_sensation, Panic_sensation, Stabbing_sensation_from_taking_deep_breaths, Thickness_in_throat, Lump_in_the_chest, Breathing_sound_squeaked_as_if_through_a_pipe, Breathing_sound_rattled_wheezed, Breathing_sound_bubbled_gurgled, Mucus_cough, Irritating_cough, Losing_breath_due_to_coughing, Difficulty_suppressing_the_cough, Lumps_pieces_in_sputum, Persisting_pain, Pain_comes_and_goes, Pain_reduces_improves_when_changing_body_position, Pain_persists_worsens_changing_body_position, Pressure_sensation, Heartburn, Pain_in_shoulder_blade, Pain_in_chest, Pain_radiated_between_shoulder_blades_to_chest, Back_pain, Pain_in_whole_body, Less_energy_to_do_things, Less_will_to_do_things, Became_weaker, Legs_do_not_support, Difficulty_to_stay_awake, Increased_need_for_sleep, Felt_worn_out, Felt_tiredness_weakness_or_lack_of_energy_that_came_and_went, Hoarse_voice, Rougher_voice, Clear_throat_more_often, Loss_of_appetite, Do_not_enjoy_food, Early_satiety, Changes_hard_to_describe, Difficult_sensing_smells, Lost_sense_of_smell, Feeling_chilly, Cold_feet, Poorer_condition_lower_fitness, More_down, More_irritable, Feeling_that_something_is_wrong",67
